seqName	start	end
1	43814952	43815064
1	115252139	115252232
1	115256481	115256576
1	115258699	115258783
1	162748352	162748419
2	25457175	25457249
2	29432652	29432713
2	29443608	29443702
2	48030560	48030883
2	209113108	209113213
2	212288888	212288978
2	212530061	212530148
2	212576795	212576892
2	212578280	212578353
2	212587143	212587213
2	212589772	212589838
2	212652716	212652812
2	212812074	212812171
3	10183766	10183854
3	10188186	10188302
3	10191421	10191521
3	37067192	37067256
3	41266038	41266140
3	138665151	138665247
3	178916807	178916963
3	178921463	178921563
3	178927400	178927471
3	178927919	178928005
3	178928071	178928161
3	178936023	178936108
3	178938807	178938876
3	178947812	178947887
3	178952001	178952107
3	178952143	178952242
4	1803564	1803646
4	1803648	1803747
4	1806065	1806156
4	1807846	1807931
4	1808275	1808395
4	1808928	1809004
4	55140994	55141088
4	55144125	55144212
4	55144475	55144559
4	55152026	55152135
4	55561696	55561861
4	55592044	55592244
4	55593422	55593513
4	55593516	55593688
4	55594145	55594261
4	55595494	55595665
4	55597457	55597617
4	55599260	55599358
4	55602665	55602766
4	55946080	55946138
4	55946226	55946270
4	55953739	55953843
4	55955085	55955172
4	55960945	55961033
4	55962479	55962580
4	55972946	55973028
4	55979551	55979636
4	55980323	55980393
4	153245378	153245470
4	153247270	153247374
4	153249375	153249478
4	153250843	153250918
4	153258968	153259122
5	112173874	112173970
5	112174573	112174677
5	112175156	112175261
5	112175323	112175432
5	112175570	112175711
5	112175746	112175839
5	112175898	112175972
5	112175978	112176076
5	149433596	149433692
5	149452992	149453083
5	170837506	170837618
7	55211044	55211113
7	55221797	55221866
7	55233012	55233121
7	55241632	55241724
7	55242387	55242540
7	55248999	55249090
7	55249123	55249213
7	55259502	55259567
7	116339603	116339694
7	116340222	116340337
7	116403151	116403246
7	116411897	116411997
7	116417427	116417520
7	116423408	116423485
7	128845079	128845146
7	128846012	128846082
7	128846363	128846421
7	128850273	128850360
7	128851523	128851601
7	140453111	140453194
7	140481385	140481481
7	148508694	148508790
8	38282140	38282220
8	38285863	38285973
9	5073718	5073781
9	5078344	5078400
9	21970942	21971063
9	21971092	21971210
9	80409417	80409498
9	80412487	80412573
9	133738305	133738385
9	133747482	133747579
9	133748238	133748354
9	133748387	133748503
9	133750308	133750403
9	135781029	135781083
9	139390786	139390878
9	139397765	139397879
9	139399342	139399445
10	43609030	43609110
10	43609874	43609969
10	43610029	43610101
10	43613802	43613894
10	43615564	43615637
10	43617385	43617452
10	89624190	89624314
10	89653782	89653869
10	89685245	89685334
10	89690764	89690848
10	89692770	89693008
10	89711856	89712023
10	89717591	89717776
10	89720570	89720700
10	89720775	89720879
10	89725041	89725142
10	123257973	123258060
10	123274766	123274846
10	123279482	123279564
10	123279604	123279687
11	533793	533903
11	534238	534348
11	108117764	108117853
11	108119808	108119896
11	108123505	108123573
11	108137954	108138045
11	108155082	108155177
11	108170465	108170629
11	108172342	108172442
11	108173632	108173795
11	108180902	108180969
11	108200907	108200990
11	108204633	108204693
11	108205712	108205821
11	108206519	108206620
11	108218040	108218142
11	108225544	108225635
11	108236039	108236231
12	25378558	25378661
12	25380263	25380360
12	25398216	25398311
12	112888114	112888229
12	112926834	112926937
12	121431382	121431571
12	121431987	121432154
13	28592606	28592708
13	28602281	28602383
13	28608226	28608321
13	28610105	28610206
13	48919222	48919299
13	48923123	48923213
13	48936959	48937013
13	48941592	48941676
13	48942649	48942722
13	48953701	48953767
13	48955483	48955568
13	49027103	49027182
13	49033827	49033935
13	49037826	49037928
13	49039147	49039246
13	49039365	49039419
14	105241439	105241523
14	105246447	105246553
15	66727423	66727522
15	66729085	66729189
15	66774119	66774198
15	66777340	66777447
15	66782822	66782935
15	90631742	90631846
15	90631907	90631970
16	68835604	68835681
16	68846032	68846147
16	68847213	68847319
17	7572918	7573014
17	7573892	7574042
17	7576483	7576693
17	7576815	7576962
17	7577010	7577188
17	7577452	7577627
17	7578144	7578556
17	7579288	7579596
17	7579700	7579768
17	7579832	7579930
17	37868186	37868267
17	37880214	37880324
17	37880967	37881030
17	37881284	37881366
18	48575121	48575193
18	48575578	48575679
18	48581188	48581282
18	48584500	48584595
18	48586258	48586344
18	48591818	48591929
18	48593402	48593507
18	48603028	48603120
18	48604663	48604797
19	1207004	1207104
19	1220313	1220423
19	1220465	1220574
19	1221228	1221332
19	1223053	1223144
19	3114950	3115047
19	3118935	3119024
19	17945625	17945733
19	17947972	17948078
19	17954130	17954229
20	36031666	36031769
20	57484408	57484483
20	57484554	57484635
22	24133939	24134037
22	24143222	24143310
22	24145519	24145598
22	24176260	24176373
